DATETIME,X,Y,Z
115711488,0.59,-0.00,9.67
115711490,0.44,0.01,9.53
115711490,0.59,0.09,9.98
115711492,0.74,0.07,9.76
115711492,0.69,0.18,9.41
115711494,0.59,0.16,9.83
115711494,0.51,0.01,9.97
115711496,0.57,-0.06,9.39
115711496,0.81,0.10,9.61
115711498,0.45,-0.04,9.62
115711498,0.48,0.00,9.51
115711500,0.81,0.14,9.95
115711501,0.71,0.06,9.82
115711502,0.54,0.06,9.41
115711502,0.53,0.15,9.82
115711504,0.59,-0.02,9.94
115711504,0.73,-0.01,9.51
115711506,0.83,0.18,9.63
115711508,0.58,0.09,9.97
115711509,0.41,-0.12,9.65
115711509,0.87,0.18,9.96
115711511,0.72,0.10,9.74
115711512,0.48,0.06,9.41
115711513,0.51,0.09,9.80
115711515,0.67,-0.03,9.94
115711515,0.79,0.00,9.53
115711517,0.76,0.14,9.57
